complaint_id,txn_id,txn_id_missing,user_id,merchant_id,transaction_timestamp,reported_timestamp,bank_response_timestamp,reporting_delay_days,bank_response_delay_days,impossible_reporting_delay,disputed_amount,disputed_amount_missing,reason_code_bucket,reason_code,complaint_text,resolution_status,severity,channel
CBK0002764,TXN00014418,False,USR71468,MCH6403,2026-03-03 00:00:00,2026-03-05 00:00:00,,2.0,,False,1393.43,False,Other/Unclassified,Service Not Provided,customer complaint text unclear due to poor call center notes.,Pending Bank,Medium,Email
CBK0000566,TXN00000086,False,USR11727,MCH4948,2026-02-23 00:00:00,2026-02-24 02:13:00,2026-03-15 00:00:00,1.0923611111111111,18.90763888888889,False,411.83,False,Other/Unclassified,unauth txn,User says UPI PIN was not entered by them.,Rejected,High,Chatbot
CBK0001247,TXN00003165,False,USR41524,MCH2342,2026-01-04 00:00:00,2026-01-09 00:00:00,2026-02-03 00:00:00,5.0,25.0,False,2714.54,False,Other/Unclassified,scam,Suspicious high-value payment disputed by customer.,Resolved,Medium,Call Center
CBK0000594,TXN65742,False,USR32980,MCH7020,2026-02-19 00:00:00,,2026-02-24 00:00:00,,,False,470.0,False,Item/Service Not Delivered,Merchant Not Delivered,suspicious high-value payment disputed by customer.,Closed,Medium,Email
CBK0002792,TXN00005061,False,USR22154,MCH9022,2026-02-28 13:16:03,2026-03-02 00:00:00,2026-03-30 00:00:00,1.4471875,28.0,False,1535.65,False,Account Takeover / Unauthorized,account hacked,Customer says amount was debited twice.,Rejected,High,Chatbot
CBK0002683,TXN00004094,False,USR73891,MCH8154,2026-01-08 00:00:00,2026-01-06 00:00:00,2026-01-21 00:00:00,-2.0,15.0,True,2519.45,False,Other/Unclassified,incorrect amount,suspicious high-value payment disputed by customer.,In Progress,High,IVR
CBK0000259,TXN00017504,False,USR24872,MCH9291,2026-01-22 00:00:00,2026-01-30 09:27:00,2026-02-13 00:00:00,8.39375,13.60625,False,12647.35,False,Account Takeover / Unauthorized,unauthorized_transaction,merchant service was not delivered after payment.,In Progress,Low,Chatbot
CBK0001330,TXN00005940,False,USR67471,MCH8738,2026-03-14 00:34:00,2026-03-15 12:34:00,2026-03-27 00:00:00,1.5,11.47638888888889,False,1360.01,False,Duplicate Debit,DUP_DEBIT,Suspicious high-value payment disputed by customer.,Pending Bank,Medium,Chatbot
CBK0001155,TXN00010146,False,USR94690,MCH3957,2026-02-09 19:16:42,,2026-02-23 06:16:42,,,False,2637.93,False,Account Takeover / Unauthorized,unauthorized_transaction,Payment made to unknown merchant as per customer statement.,In Progress,Medium,IVR
CBK0000512,TXN00014054,False,USR27947,MCH7667,2026-01-21 00:00:00,2026-01-26 00:00:00,2026-01-30 00:00:00,5.0,4.0,False,4010.97,False,Account Takeover / Unauthorized,Unauthorized Transaction,Customer says amount was debited twice.,Closed,Low,Chatbot
CBK0002002,TXN00010298,False,USR97772,MCH5269,2026-01-03 00:00:00,2026-01-08 00:00:00,2026-02-03 23:32:04,5.0,26.98060185185185,False,534.44,False,Other/Unclassified,service failed,Merchant service was not delivered after payment. urgent,In Progress,High,Chatbot
CBK0000289,TXN00005764,False,USR38028,MCH6758,2026-03-12 23:03:00,,,,,False,513.84,False,Other/Unclassified,Fraud Suspected,User claims account was compromised before transaction.,Rejected,Medium,Chatbot
CBK0002463,TXN00014364,False,USR87498,MCH4089,2026-01-19 00:00:00,2026-01-21 17:18:16,2026-02-11 00:00:00,2.7210185185185187,20.27898148148148,False,2489.04,False,Other/Unclassified,suspicious transaction,Customer says amount was debited twice.,Resolved,Low,Chatbot
CBK0002564,TXN00013473,False,USR78994,MCH2383,2026-02-16 02:17:00,2026-02-26 00:00:00,2026-03-04 00:00:00,9.904861111111112,6.0,False,2485.28,False,General Complaint / Dispute,Customer Dispute,Customer says amount was debited twice.,Pending Bank,Medium,Chatbot
CBK0000789,TXN00006632,False,USR56899,MCH7296,2026-03-28 00:00:00,2026-04-03 00:00:00,,6.0,,False,4124.85,False,Other/Unclassified,fraud,Merchant service was not delivered after payment.,In Progress,Low,Email
CBK0000080,TXN00007630,False,USR70905,MCH7833,2026-01-11 19:35:00,2026-01-12 06:35:00,2026-01-24 00:00:00,0.4583333333333333,11.725694444444445,False,963.14,False,Duplicate Debit,Duplicate Debit,user claims account was compromised before transaction.,In Progress,Low,Branch
CBK0002798,TXN66039,False,USR24087,MCH6965,2026-01-14 00:00:00,2026-01-22 06:27:51,2026-02-09 00:00:00,8.269340277777777,17.73065972222222,False,1372.0,False,Other/Unclassified,Service Not Provided,User reports money deducted but merchant denies receiving payment.,Resolved,Low,Chatbot
CBK0002232,TXN00009269,False,USR99886,MCH1941,2026-01-26 19:24:45,2026-01-29 17:24:45,,2.9166666666666665,,False,385.53,False,Item/Service Not Delivered,Merchant Not Delivered,Payment made to unknown merchant as per customer statement.,Closed,Medium,Chatbot
CBK0000069,TXN00002744,False,USR21384,MCH4252,2026-01-15 01:24:40,,2026-02-11 00:00:00,,,False,840.07,False,Item/Service Not Delivered,delivery issue,USER CLAIMS ACCOUNT WAS COMPROMISED BEFORE TRANSACTION.,In Progress,Critical,Email
CBK0001919,TXN00005826,False,USR72795,MCH2259,2026-01-31 00:00:00,2026-02-04 14:03:00,2026-02-08 00:00:00,4.585416666666666,3.4145833333333333,False,1770.58,False,Account Takeover / Unauthorized,login compromised,Merchant service was not delivered after payment.,Rejected,High,IVR
CBK0001264,TXN00008143,False,USR92737,MCH4183,2026-03-22 17:21:29,2026-03-25 22:21:00,,3.2079976851851852,,False,240.64,False,Other/Unclassified,unauth txn,Merchant service was not delivered after payment.,Open,Low,IVR
CBK0000430,TXN00018881,False,USR47299,MCH3382,2026-02-11 03:20:31,2026-02-26 00:00:00,2026-03-23 06:20:31,14.860752314814814,25.264247685185186,False,2108.9,False,Other/Unclassified,fraud,Merchant service was not delivered after payment. urgent,In Progress,Medium,IVR
CBK0002544,TXN00018727,False,USR27888,MCH5076,2026-03-20 01:26:11,2026-03-25 00:00:00,2026-04-24 20:26:11,4.940150462962963,30.851516203703703,False,10161.06,False,Item/Service Not Delivered,delivery issue,merchant service was not delivered after payment.,Open,High,Chatbot
CBK0000366,TXN00002078,False,USR73403,MCH5076,2026-03-02 18:29:32,2026-03-04 00:00:00,,1.2294907407407407,,False,6907.46,False,Amount Mismatch,extra amount deducted,Customer says transaction was not authorized.,Closed,Low,Call Center
CBK0002156,TXN00013206,False,USR11987,MCH6665,2026-01-24 09:52:00,2026-01-25 04:52:00,,0.7916666666666666,,False,26477.69,False,General Complaint / Dispute,Customer Dispute,Complaint received after multiple failed attempts.,In Progress,High,Email
CBK0002430,TXN00019681,False,USR37650,MCH5655,2026-01-29 00:00:00,2026-02-04 00:00:00,2026-02-15 00:00:00,6.0,11.0,False,9661.7,False,Item/Service Not Delivered,not delivered,Customer says amount was debited twice.,Resolved,High,IVR
CBK0002608,TXN00012654,False,USR13367,MCH8076,2026-03-29 04:01:37,,2026-04-24 19:01:00,,,False,326.32,False,Account Takeover / Unauthorized,account hacked,User claims account was compromised before transaction.,Resolved,Low,App
CBK0000929,TXN00014710,False,USR38547,MCH5541,2026-01-23 13:11:04,2026-02-03 12:11:04,2026-02-04 12:11:00,10.958333333333334,0.9999537037037037,False,3089.13,False,Account Takeover / Unauthorized,Unauthorized Transaction,Merchant service was not delivered after payment.,Open,Medium,IVR
CBK0002572,TXN00002760,False,USR49176,MCH2925,2026-01-15 14:26:16,2026-01-30 00:00:00,2026-02-09 00:00:00,14.398425925925926,10.0,False,1345.79,False,Other/Unclassified,unauth txn,User says UPI PIN was not entered by them.,Resolved,Low,IVR
CBK0002104,TXN00006293,False,USR48479,MCH8779,2026-01-08 00:00:00,2026-01-19 00:00:00,,11.0,,False,2214.27,False,Duplicate Debit,DUP_DEBIT,Complaint received after multiple failed attempts.,Rejected,Low,Branch
CBK0000661,TXN00012553,False,USR87727,MCH8876,2026-01-21 17:03:00,2026-01-23 00:00:00,2026-02-15 06:03:00,1.2895833333333333,23.252083333333335,False,901.62,False,Item/Service Not Delivered,no service,User claims account was compromised before transaction.,Resolved,Low,IVR
CBK0002250,TXN00008645,False,USR60783,MCH8613,2026-01-12 12:57:11,2026-01-19 00:00:00,,6.460289351851852,,False,5443.5,False,Account Takeover / Unauthorized,Unauthorized Transaction,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,Closed,High,Call Center
CBK0002400,TXN00015733,False,USR87357,MCH9878,2026-01-22 00:00:00,2026-01-25 00:00:00,2026-02-22 00:00:00,3.0,28.0,False,2313.86,False,Other/Unclassified,UNAUTHORISED,customer complaint text unclear due to poor call center notes.,Closed,Medium,IVR
CBK0002718,TXN00013934,False,USR84084,MCH7370,2026-02-20 00:00:00,2026-03-22 23:15:17,2026-04-04 00:00:00,30.96894675925926,12.031053240740741,False,7727.87,False,Account Takeover / Unauthorized,Account Takeover,User claims account was compromised before transaction.,Open,Low,IVR
CBK0002314,TXN00014145,False,USR21162,MCH2383,2026-03-09 00:00:00,2026-03-10 21:03:16,2026-04-07 00:00:00,1.8772685185185185,27.12273148148148,False,3888.0,False,Other/Unclassified,suspicious transaction,Complaint received after multiple failed attempts.,Closed,Low,IVR
CBK0001839,TXN00004638,False,USR67862,MCH8953,2026-02-12 09:49:00,2026-02-12 11:49:00,2026-02-17 00:00:00,0.08333333333333333,4.507638888888889,False,1651.94,False,Amount Mismatch,extra amount deducted,User reports money deducted but merchant denies receiving payment.,In Progress,High,Email
CBK0002370,TXN00001816,False,USR24664,MCH3992,2026-03-25 00:00:00,2026-03-26 19:41:41,2026-04-13 00:00:00,1.820613425925926,17.179386574074073,False,6501.45,False,Duplicate Debit,DUP_DEBIT,Payment made to unknown merchant as per customer statement.,Pending Bank,Low,Call Center
CBK0001278,TXN00008385,False,USR17657,MCH3542,2026-02-20 00:00:00,2026-04-06 00:00:00,,45.0,,False,1944.27,False,General Complaint / Dispute,dispute raised,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,Resolved,Low,Chatbot
CBK0002440,TXN00014010,False,USR71922,MCH6703,2026-01-31 08:39:15,2026-02-01 08:39:00,,0.9998263888888889,,False,1883.55,False,Other/Unclassified,unauth txn,complaint received after multiple failed attempts.,In Progress,High,IVR
CBK0001654,TXN00012039,False,USR76792,MCH6492,2026-02-05 00:00:00,2026-02-07 05:28:28,2026-02-22 05:28:00,2.228101851851852,14.999675925925926,False,966.0,False,Amount Mismatch,extra amount deducted,User reports money deducted but merchant denies receiving payment.,In Progress,Medium,Call Center
CBK0001828,TXN00016623,False,USR59679,MCH8755,2026-01-05 00:00:00,2026-01-15 08:21:37,2026-02-03 08:21:37,10.348344907407407,19.0,False,818.66,False,Account Takeover / Unauthorized,account hacked,Customer says amount was debited twice. pls check asap,Pending Bank,High,Branch
CBK0000959,TXN00011129,False,USR50320,MCH6319,2026-02-07 00:00:00,2026-03-09 11:52:00,,30.494444444444444,,False,4888.42,False,Other/Unclassified,unauth txn,User reports money deducted but merchant denies receiving payment.,Closed,Medium,Email
CBK0001122,TXN00015275,False,USR61052,MCH8979,2026-03-07 00:00:00,2026-03-13 16:27:48,2026-04-11 16:27:48,6.685972222222222,29.0,False,320.53,False,Item/Service Not Delivered,not delivered,Complaint received after multiple failed attempts.,Rejected,Medium,IVR
CBK0002333,TXN00002832,False,USR10042,MCH1611,2026-03-02 13:26:00,2026-03-05 00:00:00,2026-04-04 00:00:00,2.4402777777777778,30.0,False,8214.17,False,Account Takeover / Unauthorized,Account Takeover,Merchant service was not delivered after payment.,Rejected,Medium,IVR
CBK0001696,TXN00019601,False,USR19556,MCH5844,2026-03-08 00:00:00,2026-03-09 13:14:00,2026-04-03 00:00:00,1.551388888888889,24.448611111111113,False,9956.85,False,Account Takeover / Unauthorized,ATO,Suspicious high-value payment disputed by customer.,Closed,Medium,Chatbot
CBK0000578,TXN00006468,False,USR71457,MCH6810,2026-01-09 11:52:43,2026-01-11 20:52:43,2026-01-13 00:00:00,2.375,1.1300578703703703,False,7884.04,False,Other/Unclassified,UNAUTHORISED,Suspicious high-value payment disputed by customer.,In Progress,Low,IVR
CBK0000973,TXN00016040,False,USR25345,MCH3851,2026-02-04 00:00:00,2026-02-06 00:00:00,2026-03-07 00:00:00,2.0,29.0,False,3127.0,False,Other/Unclassified,unauth txn,Complaint received after multiple failed attempts.,Pending Bank,Low,IVR
CBK0001250,TXN00015587,False,USR11697,MCH8741,2026-02-02 00:00:00,2026-02-05 00:00:00,,3.0,,False,11364.57,False,Item/Service Not Delivered,no service,Complaint received after multiple failed attempts.,Pending Bank,Low,App
CBK0001972,TXN00001376,False,USR12133,MCH6555,2026-02-01 02:24:08,2026-02-06 04:24:08,,5.083333333333333,,False,1261.15,False,Item/Service Not Delivered,item not received,Merchant service was not delivered after payment.,Closed,Medium,Chatbot
CBK0001377,TXN00016673,False,USR91623,MCH6411,2026-01-01 10:17:00,2026-01-05 00:00:00,,3.571527777777778,,False,1675.84,False,Item/Service Not Delivered,Merchant Not Delivered,Customer says amount was debited twice.,Rejected,Low,Chatbot
CBK0000655,TXN00002874,False,USR22639,MCH4186,2026-01-12 15:25:38,2026-01-14 00:00:00,,1.357199074074074,,False,634.21,False,Other/Unclassified,incorrect amount,Customer says amount was debited twice.,Rejected,Low,Chatbot
CBK0001849,TXN51763,False,USR23350,MCH2303,2026-01-23 00:00:00,,,,,False,830.25,False,Amount Mismatch,extra amount deducted,payment made to unknown merchant as per customer statement.,Open,Low,Email
CBK0002795,TXN00013236,False,USR87506,MCH5811,2026-01-12 00:00:00,2026-01-14 07:15:20,2026-01-29 00:00:00,2.3023148148148147,14.697685185185184,False,6523.57,False,Item/Service Not Delivered,merchant service issue,Customer says transaction was not authorized.,In Progress,Low,Chatbot
CBK0000811,TXN00015831,False,USR22432,MCH2078,2026-02-15 00:00:00,2026-02-16 00:00:00,,1.0,,False,3377.0,False,Other/Unclassified,scam,customer complaint text unclear due to poor call center notes.,Closed,Medium,Email
CBK0000215,TXN00001291,False,USR52378,MCH9991,2026-01-29 00:00:00,2026-01-31 00:00:00,2026-02-13 00:00:00,2.0,13.0,False,1404.87,False,Account Takeover / Unauthorized,not done by me,user claims account was compromised before transaction.,Pending Bank,Medium,Branch
CBK0000695,TXN00012216,False,USR72760,MCH7773,2026-03-13 00:00:00,2026-03-15 00:00:00,,2.0,,False,972.52,False,Other/Unclassified,FRAUD,Complaint received after multiple failed attempts.,In Progress,Low,Chatbot
CBK0001567,TXN00010292,False,USR40745,MCH3673,2026-01-19 08:28:00,,2026-02-19 00:00:00,,,False,982.39,False,General Complaint / Dispute,customer issue,User claims account was compromised before transaction.,Pending Bank,Medium,Email
CBK0001512,TXN00019027,False,USR98733,MCH1775,2026-02-16 08:24:00,2026-02-17 00:00:00,,0.65,,False,800.24,False,Duplicate Debit,DUP_DEBIT,Customer says amount was debited twice.,Rejected,Medium,Email
CBK0001403,TXN00012661,False,USR30500,MCH6979,2026-03-08 00:00:00,2026-03-14 00:00:00,2026-03-30 00:00:00,6.0,16.0,False,4457.64,False,Other/Unclassified,unauth txn,Payment made to unknown merchant as per customer statement.,Resolved,Medium,IVR
CBK0000326,TXN00017327,False,USR84200,MCH2753,2026-02-01 22:35:22,2026-02-02 00:00:00,2026-02-10 07:35:22,0.05877314814814815,8.316226851851852,False,1722.43,False,General Complaint / Dispute,dispute raised,Customer says transaction was not authorized.,Open,Low,Call Center
CBK0002418,TXN00011396,False,USR35122,MCH4181,2026-02-22 00:00:00,2026-03-04 15:55:09,2026-03-22 00:00:00,10.663298611111111,17.33670138888889,False,205.54,False,Item/Service Not Delivered,merchant service issue,User reports money deducted but merchant denies receiving payment.,Open,High,Chatbot
CBK0001533,TXN00007635,False,USR56755,MCH7066,2026-02-13 03:52:00,2026-02-14 00:00:00,2026-03-06 05:52:00,0.8388888888888889,20.244444444444444,False,1325.25,False,Account Takeover / Unauthorized,login compromised,customer complaint text unclear due to poor call center notes.,Rejected,High,App
CBK0002617,TXN00016671,False,USR60544,MCH7838,2026-02-09 00:00:00,2026-02-24 00:00:00,2026-03-17 23:17:16,15.0,21.970324074074075,False,1587.1,False,General Complaint / Dispute,Customer Dispute,User claims account was compromised before transaction.,Rejected,Low,Call Center
CBK0002780,TXN40959,False,USR75376,MCH4293,2026-02-26 00:00:00,2026-03-13 00:00:00,,15.0,,False,823.15,False,Item/Service Not Delivered,item not received,User says UPI PIN was not entered by them.,In Progress,High,Chatbot
CBK0001680,TXN00009645,False,USR11085,MCH7073,2026-01-31 16:31:00,2026-02-02 00:00:00,,1.3118055555555554,,False,3937.19,False,Item/Service Not Delivered,not delivered,Complaint received after multiple failed attempts.,Open,Medium,Chatbot
CBK0002514,TXN00001801,False,USR99493,MCH3992,2026-03-12 14:53:38,,2026-03-19 00:00:00,,,False,4455.8,False,Item/Service Not Delivered,not delivered,Customer says transaction was not authorized.,Pending Bank,Low,Branch
CBK0001427,TXN00019824,False,USR76289,MCH5563,2026-01-06 00:00:00,2026-02-05 00:00:00,2026-03-03 08:07:00,30.0,26.338194444444444,False,755.08,False,Item/Service Not Delivered,no service,Suspicious high-value payment disputed by customer.,Rejected,Critical,Email
CBK0001238,TXN00006193,False,USR35817,MCH7061,2026-03-12 00:00:00,2026-03-13 00:00:00,2026-04-10 00:00:00,1.0,28.0,False,26207.56,False,Other/Unclassified,FRAUD,Customer says amount was debited twice.,In Progress,Low,App
CBK0000316,TXN00016400,False,USR40842,MCH3815,2026-03-18 00:00:00,2026-04-18 00:00:00,2026-05-03 00:00:00,31.0,15.0,False,1616.81,False,Amount Mismatch,Wrong Amount,COMPLAINT RECEIVED AFTER MULTIPLE FAILED ATTEMPTS.,Resolved,Medium,Chatbot
CBK0002303,TXN00016593,False,USR96415,MCH1320,2026-01-11 00:00:00,2026-01-13 00:00:00,2026-01-22 01:23:48,2.0,9.058194444444444,False,6511.97,False,Account Takeover / Unauthorized,Unauthorized Transaction,Customer complaint text unclear due to poor call center notes.,Resolved,Medium,IVR
CBK0000369,TXN00008758,False,USR86274,MCH3418,2026-03-18 04:15:38,2026-03-20 15:15:38,,2.4583333333333335,,False,11352.0,False,Other/Unclassified,UNAUTHORISED,User says UPI PIN was not entered by them.,In Progress,Medium,IVR
CBK0000180,TXN00019503,False,USR70812,MCH3936,2026-01-18 00:00:00,2026-01-22 00:00:00,2026-02-02 00:00:00,4.0,11.0,False,1537.27,False,Item/Service Not Delivered,not delivered,user claims account was compromised before transaction.,In Progress,Low,Branch
CBK0001105,TXN00019695,False,USR34180,MCH6310,2026-03-04 00:00:00,,,,,False,1782.96,False,Duplicate Debit,Duplicate Debit,User reports money deducted but merchant denies receiving payment.,Open,Medium,Chatbot
CBK0002268,TXN00008063,False,USR89588,MCH1457,2026-03-08 00:00:00,2026-03-19 00:00:00,2026-03-28 00:00:00,11.0,9.0,False,2296.42,False,General Complaint / Dispute,complaint,User says UPI PIN was not entered by them.,Open,Medium,Branch
CBK0000575,TXN00009966,False,USR40897,MCH9575,2026-02-23 00:00:00,2026-02-23 00:00:00,,0.0,,False,606.33,False,Item/Service Not Delivered,item not received,merchant service was not delivered after payment.,Rejected,Critical,Email
CBK0001732,TXN00007456,False,USR17657,MCH3806,2026-03-17 00:00:00,2026-03-17 00:00:00,,0.0,,False,2655.0,False,Other/Unclassified,Fraud Suspected,User claims account was compromised before transaction.,Closed,High,Branch
CBK0001266,TXN00017098,False,USR19427,MCH5980,2026-01-30 00:00:00,2026-02-02 14:20:47,2026-02-03 00:00:00,3.5977662037037037,0.4022337962962963,False,1358.37,False,Duplicate Debit,DUP_DEBIT,Complaint received after multiple failed attempts.,Rejected,Medium,Chatbot
CBK0001121,TXN00005396,False,USR14769,MCH8455,2026-01-23 08:19:00,,,,,False,2926.18,False,Other/Unclassified,scam,Customer says transaction was not authorized.,Open,Medium,Email
CBK0000448,TXN00013063,False,USR62513,MCH8391,2026-02-14 00:00:00,,2026-02-17 10:59:00,,,False,395.16,False,Item/Service Not Delivered,merchant service issue,Suspicious high-value payment disputed by customer.,Rejected,Medium,Email
CBK0001383,TXN00005315,False,USR50648,MCH2822,2026-03-06 00:00:00,2026-03-12 00:00:00,2026-03-27 05:23:46,6.0,15.224837962962964,False,819.89,False,General Complaint / Dispute,Customer Dispute,User reports money deducted but merchant denies receiving payment.,Open,Low,Chatbot
CBK0000879,TXN00018041,False,USR59366,MCH6145,2026-03-14 00:00:00,2026-03-24 00:00:00,2026-03-25 00:00:00,10.0,1.0,False,479.19,False,Other/Unclassified,scam,Customer complaint text unclear due to poor call center notes.,Pending Bank,Low,IVR
CBK0000860,TXN00007296,False,USR97580,MCH3701,2026-02-04 00:00:00,,,,,False,1425.61,False,Item/Service Not Delivered,delivery issue,Suspicious high-value payment disputed by customer.,Pending Bank,Medium,Chatbot
CBK0001949,TXN00000319,False,USR60096,MCH4998,2026-02-19 00:00:00,2026-02-24 00:00:00,2026-03-21 00:00:00,5.0,25.0,False,2189.0,False,General Complaint / Dispute,customer issue,Customer says amount was debited twice.,Pending Bank,Medium,Email
CBK0001018,TXN00018348,False,USR13510,MCH1320,2026-01-28 00:00:00,2026-02-13 05:26:28,2026-02-17 00:00:00,16.226712962962964,3.773287037037037,False,1207.49,False,Account Takeover / Unauthorized,Unauthorized Transaction,Complaint received after multiple failed attempts.,Resolved,Low,App
CBK0002077,TXN00005419,False,USR55970,MCH9128,2026-01-22 00:00:00,2026-01-30 00:00:00,2026-02-25 00:00:00,8.0,26.0,False,8383.0,False,Other/Unclassified,Fraud Suspected,Payment made to unknown merchant as per customer statement.,Rejected,Low,Call Center
CBK0001087,TXN00014733,False,USR20889,MCH5264,2026-02-06 00:00:00,2026-02-06 00:00:00,,0.0,,False,1558.23,False,Item/Service Not Delivered,merchant service issue,Suspicious high-value payment disputed by customer.,In Progress,Medium,Call Center
CBK0002588,TXN00008732,False,USR22039,MCH2374,2026-03-22 00:00:00,2026-04-01 00:00:00,,10.0,,False,3491.72,False,Duplicate Debit,charged twice,User says UPI PIN was not entered by them.,Closed,High,Chatbot
CBK0000247,TXN00019340,False,USR75302,MCH7286,2026-01-04 20:29:59,2026-01-04 00:00:00,2026-01-18 00:00:00,-0.8541550925925926,14.0,True,1486.0,False,Other/Unclassified,service failed,Customer says transaction was not authorized.,Resolved,Medium,Call Center
CBK0002158,TXN00015104,False,USR76750,MCH6228,2026-01-19 00:00:00,2026-01-25 00:00:00,2026-01-30 00:00:00,6.0,5.0,False,2517.56,False,General Complaint / Dispute,Customer Dispute,User claims account was compromised before transaction.,Rejected,Low,Branch
